[9/6/2024 9:14:06 AM][Info] Target Game type is Normal
[9/6/2024 9:14:19 AM][Info] Loading D:\SteamLibrary\steamapps\common\When the Darkness comes\WhenTheDarknessComes_Data\sharedassets18.assets
[9/6/2024 9:14:19 AM][Info] Loading D:\SteamLibrary\steamapps\common\When the Darkness comes\WhenTheDarknessComes_Data\sharedassets19.assets
[9/6/2024 9:14:19 AM][Info] Loading D:\SteamLibrary\steamapps\common\When the Darkness comes\WhenTheDarknessComes_Data\sharedassets2.assets
[9/6/2024 9:14:19 AM][Info] Loading D:\SteamLibrary\steamapps\common\When the Darkness comes\WhenTheDarknessComes_Data\sharedassets20.assets
[9/6/2024 9:14:19 AM][Info] Loading D:\SteamLibrary\steamapps\common\When the Darkness comes\WhenTheDarknessComes_Data\sharedassets21.assets
[9/6/2024 9:14:19 AM][Info] Loading D:\SteamLibrary\steamapps\common\When the Darkness comes\WhenTheDarknessComes_Data\sharedassets22.assets
[9/6/2024 9:14:19 AM][Info] Loading D:\SteamLibrary\steamapps\common\When the Darkness comes\WhenTheDarknessComes_Data\sharedassets23.assets
[9/6/2024 9:14:19 AM][Info] Loading D:\SteamLibrary\steamapps\common\When the Darkness comes\WhenTheDarknessComes_Data\sharedassets24.assets
[9/6/2024 9:14:19 AM][Info] Loading D:\SteamLibrary\steamapps\common\When the Darkness comes\WhenTheDarknessComes_Data\sharedassets25.assets
[9/6/2024 9:14:19 AM][Info] Loading D:\SteamLibrary\steamapps\common\When the Darkness comes\WhenTheDarknessComes_Data\sharedassets26.assets
[9/6/2024 9:14:19 AM][Info] Loading D:\SteamLibrary\steamapps\common\When the Darkness comes\WhenTheDarknessComes_Data\sharedassets27.assets
[9/6/2024 9:14:19 AM][Info] Loading D:\SteamLibrary\steamapps\common\When the Darkness comes\WhenTheDarknessComes_Data\sharedassets28.assets
[9/6/2024 9:14:19 AM][Info] Loading D:\SteamLibrary\steamapps\common\When the Darkness comes\WhenTheDarknessComes_Data\sharedassets29.assets
[9/6/2024 9:14:19 AM][Info] Loading D:\SteamLibrary\steamapps\common\When the Darkness comes\WhenTheDarknessComes_Data\sharedassets3.assets
[9/6/2024 9:14:19 AM][Info] Loading D:\SteamLibrary\steamapps\common\When the Darkness comes\WhenTheDarknessComes_Data\sharedassets30.assets
[9/6/2024 9:14:19 AM][Info] Loading D:\SteamLibrary\steamapps\common\When the Darkness comes\WhenTheDarknessComes_Data\sharedassets31.assets
[9/6/2024 9:14:19 AM][Info] Loading D:\SteamLibrary\steamapps\common\When the Darkness comes\WhenTheDarknessComes_Data\sharedassets4.assets
[9/6/2024 9:14:19 AM][Info] Loading D:\SteamLibrary\steamapps\common\When the Darkness comes\WhenTheDarknessComes_Data\sharedassets5.assets
[9/6/2024 9:14:19 AM][Info] Loading D:\SteamLibrary\steamapps\common\When the Darkness comes\WhenTheDarknessComes_Data\sharedassets6.assets
[9/6/2024 9:14:19 AM][Info] Loading D:\SteamLibrary\steamapps\common\When the Darkness comes\WhenTheDarknessComes_Data\sharedassets7.assets
[9/6/2024 9:14:19 AM][Info] Loading D:\SteamLibrary\steamapps\common\When the Darkness comes\WhenTheDarknessComes_Data\sharedassets8.assets
[9/6/2024 9:14:19 AM][Info] Loading D:\SteamLibrary\steamapps\common\When the Darkness comes\WhenTheDarknessComes_Data\sharedassets9.assets
[9/6/2024 9:14:19 AM][Info] Loading D:\SteamLibrary\steamapps\common\When the Darkness comes\WhenTheDarknessComes_Data\Resources\unity default resources
[9/6/2024 9:14:19 AM][Info] Loading D:\SteamLibrary\steamapps\common\When the Darkness comes\WhenTheDarknessComes_Data\Resources\unity_builtin_extra
[9/6/2024 9:14:19 AM][Info] Read assets...
[9/6/2024 9:14:20 AM][Info] Process Assets...
